Gene stable ID	Gene name	Chromosome/scaffold name
WBGene00004858	sma-4	III
WBGene00004859	sma-5	X
WBGene00004860	sma-6	II
WBGene00004862	sma-9	X
WBGene00004873	smc-3	III
WBGene00004874	smc-4	III
WBGene00004875	smd-1	I
WBGene00004876	smf-1	X
WBGene00004877	smf-2	X
WBGene00004878	smf-3	IV
WBGene00004879	smg-1	I
WBGene00004880	smg-2	I
WBGene00004881	smg-3	IV
WBGene00004882	smg-4	V
WBGene00004883	smg-5	I
WBGene00004884	smg-6	III
WBGene00004885	smg-7	IV
WBGene00004886	smi-1	III
WBGene00004887	smn-1	I
WBGene00004888	smo-1	I
WBGene00004889	smp-1	I
WBGene00004890	smp-2	I
WBGene00004891	smr-1	III
WBGene00004892	sms-1	IV
WBGene00004893	sms-2	X
WBGene00004894	sms-3	III
WBGene00004895	smu-1	I
WBGene00004896	smu-2	II
WBGene00004897	snb-1	V
WBGene00004898	snb-2	V
WBGene00004899	snb-5	III
WBGene00004900	snf-1	I
WBGene00004901	snf-2	I
WBGene00004902	snf-3	II
WBGene00004903	snf-4	II
WBGene00004904	snf-5	II
WBGene00004905	snf-6	III
WBGene00004906	snf-7	III
WBGene00004907	snf-8	IV
WBGene00004908	snf-9	IV
WBGene00004909	snf-10	V
WBGene00004910	snf-11	V
WBGene00004911	snf-12	X
WBGene00004912	sng-1	X
WBGene00004913	snn-1	IV
WBGene00004914	snr-1	IV
WBGene00004915	snr-2	I
WBGene00004916	snr-3	II
WBGene00004917	snr-4	V
WBGene00004918	snr-5	III
WBGene00004919	snr-6	III
WBGene00004920	snr-7	I
WBGene00004921	snt-1	II
WBGene00004922	snt-2	III
WBGene00004923	snt-3	V
WBGene00004924	snt-4	I
WBGene00004925	snt-5	V
WBGene00004926	snt-6	II
WBGene00004927	snx-1	X
WBGene00004928	soc-1	V
WBGene00004929	soc-2	IV
WBGene00004930	sod-1	II
WBGene00004931	sod-2	I
WBGene00004932	sod-3	X
WBGene00004933	sod-4	III
WBGene00004944	sol-1	I
WBGene00004945	sop-2	II
WBGene00004946	sop-3	I
WBGene00004947	sos-1	V
WBGene00004949	sox-2	X
WBGene00004950	sox-3	X
WBGene00004951	spc-1	X
WBGene00004952	spd-1	I
WBGene00004953	spd-2	I
WBGene00004954	spd-3	IV
WBGene00004955	spd-5	I
WBGene00004958	spe-4	I
WBGene00004959	spe-5	I
WBGene00004960	spe-6	III
WBGene00004962	spe-8	I
WBGene00004963	spe-9	I
WBGene00004964	spe-10	V
WBGene00004965	spe-11	I
WBGene00004966	spe-12	I
WBGene00004969	spe-15	I
WBGene00004971	spe-17	IV
WBGene00004972	spe-26	IV
WBGene00004973	spe-27	IV
WBGene00004974	spe-29	IV
WBGene00004975	spe-39	V
WBGene00004976	spe-41	III
WBGene00004978	spg-7	I
WBGene00004979	sph-1	IV
WBGene00004980	spk-1	III
WBGene00004981	spl-1	IV
WBGene00004984	spn-4	V
WBGene00004985	spo-11	IV
WBGene00004986	spp-1	III
WBGene00004987	spp-2	X
WBGene00004988	spp-3	X
WBGene00004989	spp-4	X
WBGene00004990	spp-5	X
WBGene00004991	spp-6	X
WBGene00004992	spp-7	IV
WBGene00004993	spp-8	IV
WBGene00004994	spp-9	X
WBGene00004995	spp-10	IV
WBGene00004996	spp-11	II
WBGene00004997	spp-12	V
WBGene00004998	spp-13	X
WBGene00004999	spp-14	X
WBGene00005000	spp-15	I
WBGene00005001	spp-16	V
WBGene00005002	spp-17	I
WBGene00005003	spp-18	IV
WBGene00005004	spp-19	V
WBGene00005005	spp-20	V
WBGene00005006	spr-1	V
WBGene00005007	spr-2	IV
WBGene00005008	spr-3	X
WBGene00005009	spr-4	I
WBGene00005010	spr-5	I
WBGene00005011	F26F4.8	III
WBGene00005012	F26F4.2	III
WBGene00005013	jmjd-1.1	II
WBGene00005014	spt-4	III
WBGene00005015	spt-5	IV
WBGene00005016	sqt-1	II
WBGene00005017	sqt-2	II
WBGene00005018	sqt-3	V
WBGene00005019	sqv-1	IV
WBGene00005020	sqv-2	II
WBGene00005021	sqv-3	III
WBGene00005022	sqv-4	V
WBGene00005023	sqv-5	I
WBGene00005024	sqv-6	V
WBGene00005025	sqv-7	II
WBGene00005026	sqv-8	II
WBGene00005027	sra-1	II
WBGene00005028	sra-2	II
WBGene00005029	sra-3	II
WBGene00005030	sra-4	II
WBGene00005031	sra-5	II
WBGene00005032	sra-6	II
WBGene00005033	sra-7	II
WBGene00005034	sra-8	II
WBGene00005035	sra-9	II
WBGene00005036	sra-10	II
WBGene00005037	sra-11	II
WBGene00005038	sra-12	II
WBGene00005039	sra-13	II
WBGene00005040	sra-14	II
WBGene00005041	sra-15	II
WBGene00005042	sra-16	II
WBGene00005043	sra-17	I
WBGene00005044	sra-18	I
WBGene00005045	sra-19	I
WBGene00005046	sra-20	I
WBGene00005047	sra-21	I
WBGene00005048	sra-22	I
WBGene00005049	sra-23	I
WBGene00005050	sra-24	I
WBGene00005051	sra-25	I
WBGene00005052	sra-26	II
WBGene00005053	sra-27	II
WBGene00005054	sra-28	II
WBGene00005055	sra-29	II
WBGene00005056	sra-30	IV
WBGene00005057	sra-31	II
WBGene00005058	sra-32	II
WBGene00005059	sra-33	II
WBGene00005060	sra-34	II
WBGene00005061	sra-35	II
WBGene00005062	sra-36	II
WBGene00005063	sra-37	X
WBGene00005064	sra-38	X
WBGene00005065	sra-39	X
WBGene00005066	srb-1	II
WBGene00005067	srb-2	II
WBGene00005068	srb-3	II
WBGene00005069	srb-4	II
WBGene00005070	srb-5	II
WBGene00005071	srb-6	II
WBGene00005072	srb-7	III
WBGene00005073	srb-8	III
WBGene00005074	srb-9	III
WBGene00005075	srb-10	III
WBGene00005076	srb-11	III
WBGene00005077	src-1	I
WBGene00005078	src-2	I
WBGene00005079	srd-1	II
WBGene00005080	srd-2	II
WBGene00005081	srd-3	II
WBGene00005082	srd-4	V
WBGene00005083	srd-5	IV
WBGene00005084	srd-6	IV
WBGene00005085	srd-7	IV
WBGene00005086	srd-8	IV
WBGene00005087	srd-9	V
WBGene00005088	srd-10	IV
WBGene00005089	srd-11	V
WBGene00005090	srd-12	IV
WBGene00005091	srd-13	IV
WBGene00005092	srd-14	IV
WBGene00005093	srd-15	V
WBGene00005094	srd-16	V
WBGene00005095	srd-17	V
WBGene00005096	srd-18	V
WBGene00005097	srd-19	V
WBGene00005098	srd-20	V
WBGene00005099	srd-21	V
WBGene00005100	srd-22	V
WBGene00005101	srd-23	IV
WBGene00005102	srd-24	V
WBGene00005103	srd-25	V
WBGene00005104	srd-26	V
WBGene00005105	srd-27	V
WBGene00005106	srd-28	V
WBGene00005107	srd-29	V
WBGene00005108	srd-30	V
WBGene00005109	srd-31	V
WBGene00005110	srd-32	V
WBGene00005111	srd-33	V
WBGene00005112	srd-34	V
WBGene00005113	srd-35	V
WBGene00005114	srd-36	X
WBGene00005115	srd-37	X
WBGene00005116	srd-38	X
WBGene00005117	srd-39	X
WBGene00005118	srd-40	X
WBGene00005119	srd-41	X
WBGene00005120	srd-42	X
WBGene00005121	srd-43	X
WBGene00005122	srd-44	X
WBGene00005123	srd-45	X
WBGene00005124	srd-46	X
WBGene00005125	srd-47	X
WBGene00005126	srd-48	X
WBGene00005127	srd-49	V
WBGene00005128	srd-50	X
WBGene00005129	srd-51	X
WBGene00005130	srd-52	II
WBGene00005131	srd-53	I
WBGene00005132	srd-54	II
WBGene00005133	srd-55	II
WBGene00005134	srd-56	II
WBGene00005135	srd-58	II
WBGene00005136	srd-59	II
WBGene00005137	srd-60	V
WBGene00005138	srd-61	V
WBGene00005139	srd-62	V
WBGene00005140	srd-63	V
WBGene00005141	srd-64	III
WBGene00005142	srd-65	III
WBGene00005143	srd-66	III
WBGene00005144	srd-67	III
WBGene00005145	srd-68	V
WBGene00005146	srd-69	III
WBGene00005147	srd-70	V
WBGene00005148	srd-71	V
WBGene00005149	sre-1	II
WBGene00005150	sre-2	II
WBGene00005153	srf-3	IV
WBGene00005159	srg-1	III
WBGene00005160	srg-2	III
WBGene00005161	srg-3	III
WBGene00005162	srg-4	III
WBGene00005163	srg-5	III
WBGene00005164	srg-6	III
WBGene00005165	srg-7	III
WBGene00005166	srg-8	III
WBGene00005167	srg-9	III
WBGene00005168	srg-10	III
WBGene00005169	srg-11	III
WBGene00005170	srg-13	III
WBGene00005171	srg-14	I
WBGene00005172	srg-15	II
WBGene00005173	srg-16	II
WBGene00005174	srg-17	II
WBGene00005175	srg-18	II
WBGene00005176	srg-19	IV
WBGene00005177	srg-20	II
WBGene00005178	srg-21	II
WBGene00005179	srg-22	II
WBGene00005180	srg-23	II
WBGene00005181	srg-24	II
WBGene00005182	srg-25	V
WBGene00005183	srg-26	V
WBGene00005184	srg-27	V
WBGene00005185	srg-28	V
WBGene00005186	srg-29	V
WBGene00005187	srg-30	V
WBGene00005188	srg-31	V
WBGene00005189	srg-32	V
WBGene00005190	srg-33	V
WBGene00005191	srg-34	V
WBGene00005192	srg-35	V
WBGene00005193	srg-36	X
WBGene00005194	srg-37	X
WBGene00005195	srg-38	V
WBGene00005196	srg-39	V
WBGene00005197	srg-40	V
WBGene00005198	srg-41	V
WBGene00005199	srg-42	V
WBGene00005200	srg-43	V
WBGene00005201	srg-44	V
WBGene00005202	srg-45	V
WBGene00005203	srg-46	V
WBGene00005204	srg-47	V
WBGene00005205	srg-48	IV
WBGene00005206	srg-49	IV
WBGene00005207	srg-50	IV
WBGene00005208	srg-51	IV
WBGene00005210	srg-53	V
WBGene00005211	srg-54	V
WBGene00005212	srg-55	V
WBGene00005213	srg-56	V
WBGene00005214	srg-57	V
WBGene00005215	srg-58	V
WBGene00005216	srg-59	V
WBGene00005217	srg-60	V
WBGene00005218	srg-61	V
WBGene00005219	srg-62	V
WBGene00005220	srg-63	IV
WBGene00005221	srg-64	X
WBGene00005222	srg-65	V
WBGene00005223	srg-66	V
WBGene00005224	srg-67	V
WBGene00005225	srg-68	V
WBGene00005226	srg-69	II
WBGene00005227	srh-1	V
WBGene00005228	srh-2	V
WBGene00005229	srh-3	V
WBGene00005230	srh-4	V
WBGene00005231	srh-5	V
WBGene00005232	srh-6	V
WBGene00005233	srh-7	V
WBGene00005234	srh-8	V
WBGene00005235	srh-9	V
WBGene00005236	srh-10	V
WBGene00005237	srh-11	X
WBGene00005238	srh-12	X
WBGene00005239	srh-13	X
WBGene00005240	srh-15	V
WBGene00005241	srh-16	V
WBGene00005242	srh-17	V
WBGene00005243	srh-18	V
WBGene00005244	srh-19	X
WBGene00005245	srh-20	V
WBGene00005246	srh-21	V
WBGene00005247	srh-22	V
WBGene00005248	srh-23	V
WBGene00005249	srh-25	V
WBGene00005250	srh-27	II
WBGene00005251	srh-28	V
WBGene00005252	srh-29	V
WBGene00005253	srh-30	V
WBGene00005254	srh-31	V
WBGene00005255	srh-32	V
WBGene00005256	srh-33	V
WBGene00005257	srh-34	V
WBGene00005258	srh-35	V
WBGene00005259	srh-36	V
WBGene00005260	srh-37	V
WBGene00005261	srh-38	V
WBGene00005262	srh-39	II
WBGene00005263	srh-40	III
WBGene00005264	srh-41	II
WBGene00005265	srh-42	II
WBGene00005266	srh-43	II
WBGene00005267	srh-44	II
WBGene00005268	srh-45	V
WBGene00005269	srh-46	V
WBGene00005270	srh-47	V
WBGene00005271	srh-48	II
WBGene00005272	srh-49	I
WBGene00005273	srh-50	I
WBGene00005274	srh-51	I
WBGene00005275	srh-52	V
WBGene00005276	srh-53	V
WBGene00005277	srh-54	V
WBGene00005278	srh-55	V
WBGene00005279	srh-56	V
WBGene00005280	srh-57	II
WBGene00005281	srh-59	II
WBGene00005282	srh-60	II
WBGene00005283	srh-61	II
WBGene00005284	srh-62	V
WBGene00005285	srh-63	IV
WBGene00005286	srh-65	IV
WBGene00005287	srh-66	II
WBGene00005288	srh-67	II
WBGene00005289	srh-68	II
WBGene00005290	srh-69	II
WBGene00005291	srh-70	II
WBGene00005292	srh-71	II
WBGene00005293	srh-72	II
WBGene00005294	srh-73	II
WBGene00005295	srh-74	V
WBGene00005296	srh-75	V
WBGene00005297	srh-76	V
WBGene00005298	srh-77	V
WBGene00005299	srh-78	V
WBGene00005300	srh-79	V
WBGene00005301	srh-80	V
WBGene00005302	srh-81	V
WBGene00005303	srh-82	V
WBGene00005304	srh-83	V
WBGene00005305	srh-84	V
WBGene00005306	srh-85	V
WBGene00005307	srh-86	V
WBGene00005308	srh-87	V
WBGene00005309	srh-88	V
WBGene00005310	srh-89	V
WBGene00005311	srh-90	II
WBGene00005312	srh-91	V
WBGene00005313	srh-92	V
WBGene00005314	srh-93	V
WBGene00005315	srh-95	V
WBGene00005316	srh-97	V
WBGene00005317	srh-98	V
WBGene00005318	srh-99	II
WBGene00005319	srh-100	II
WBGene00005320	srh-101	V
WBGene00005321	srh-102	V
WBGene00005322	srh-103	V
WBGene00005323	srh-104	V
WBGene00005324	T27A1.1	II
WBGene00005325	srh-106	V
WBGene00005326	srh-107	V
WBGene00005327	srh-108	V
WBGene00005328	srh-109	V
WBGene00005329	srh-110	V
WBGene00005330	srh-111	V
WBGene00005331	srh-112	V
WBGene00005332	srh-113	V
WBGene00005333	srh-114	V
WBGene00005334	srh-115	V
WBGene00005335	srh-116	V
WBGene00005336	srh-117	V
WBGene00005337	srh-118	V
WBGene00005338	srh-119	V
WBGene00005339	srh-120	V
WBGene00005340	srh-122	V
WBGene00005341	srh-123	V
WBGene00005342	srh-125	V
WBGene00005343	srh-126	V
WBGene00005344	srh-127	V
WBGene00005345	srh-128	II
WBGene00005346	srh-129	V
WBGene00005347	srh-130	V
WBGene00005348	srh-131	V
WBGene00005349	srh-132	V
WBGene00005350	srh-133	V
WBGene00005351	srh-134	V
WBGene00005352	srh-135	II
WBGene00005353	srh-136	V
WBGene00005354	srh-137	V
WBGene00005355	srh-138	V
WBGene00005356	srh-139	V
WBGene00005357	srh-140	V
WBGene00005358	srh-141	V
WBGene00005359	srh-142	V
WBGene00005360	srh-144	V
WBGene00005361	srh-145	V
WBGene00005362	srh-146	V
WBGene00005363	srh-147	V
WBGene00005364	srh-148	V
WBGene00005365	srh-149	V
WBGene00005366	srh-150	V
WBGene00005367	srh-151	V
WBGene00005368	srh-152	V
WBGene00005369	srh-153	V
WBGene00005370	srh-154	V
WBGene00005371	srh-155	V
WBGene00005372	srh-156	V
WBGene00005373	srh-157	V
WBGene00005374	srh-158	V
WBGene00005375	srh-159	V
WBGene00005376	srh-160	V
WBGene00005377	srh-161	V
WBGene00005378	srh-162	V
WBGene00005379	srh-163	V
WBGene00005380	srh-164	II
WBGene00005381	srh-165	V
WBGene00005382	srh-166	V
WBGene00005383	srh-167	V
WBGene00005384	srh-168	V
WBGene00005385	srh-169	V
WBGene00005386	srh-170	V
WBGene00005387	srh-171	V
WBGene00005388	srh-172	V
WBGene00005389	srh-173	V
WBGene00005390	srh-174	V
WBGene00005391	srh-175	V
WBGene00005392	srh-177	V
WBGene00005393	srh-178	V
WBGene00005394	srh-179	V
WBGene00005395	srh-180	V
WBGene00005396	srh-181	V
WBGene00005397	srh-182	V
WBGene00005398	srh-183	V
WBGene00005399	srh-184	V
WBGene00005400	srh-185	V
WBGene00005401	srh-186	V
WBGene00005402	srh-187	V
WBGene00005403	srh-189	V
WBGene00005404	srh-190	V
WBGene00005405	srh-192	V
WBGene00005406	srh-193	V
WBGene00005407	srh-194	V
WBGene00005408	srh-195	II
WBGene00005409	srh-198	V
WBGene00005410	srh-199	V
WBGene00005411	srh-200	V
WBGene00005412	srh-201	V
WBGene00005413	srh-202	V
WBGene00005414	srh-203	V
WBGene00005415	srh-204	V
WBGene00005416	srh-206	V
WBGene00005417	srh-207	V
WBGene00005418	srh-208	V
WBGene00005419	srh-209	V
WBGene00005420	srh-210	V
WBGene00005421	srh-211	V
WBGene00005422	srh-212	V
WBGene00005423	srh-213	V
WBGene00005424	srh-214	V
WBGene00005425	srh-215	V
WBGene00005426	srh-216	V
WBGene00005427	srh-217	V
WBGene00005428	srh-218	V
WBGene00005429	srh-219	V
WBGene00005430	srh-220	IV
WBGene00005431	srh-221	V
WBGene00005432	srh-222	IV
WBGene00005433	srh-223	IV
WBGene00005434	srh-224	IV
WBGene00005435	srh-227	IV
WBGene00005436	srh-228	IV
WBGene00005437	srh-229	V
WBGene00005438	srh-230	V
WBGene00005439	srh-231	V
WBGene00005440	srh-233	V
WBGene00005441	srh-234	V
WBGene00005442	srh-235	V
WBGene00005443	srh-236	V
WBGene00005444	srh-237	V
WBGene00005445	srh-238	V
WBGene00005446	srh-239	V
WBGene00005447	srh-240	V
WBGene00005448	srh-241	V
WBGene00005449	srh-243	V
WBGene00005450	srh-244	V
WBGene00005451	srh-245	V
WBGene00005452	srh-246	V
WBGene00005453	srh-247	V
WBGene00005454	srh-248	V
WBGene00005455	srh-249	V
WBGene00005456	srh-250	II
WBGene00005457	srh-251	V
WBGene00005458	srh-252	V
WBGene00005459	srh-253	V
WBGene00005460	srh-254	V
WBGene00005461	srh-255	V
WBGene00005462	srh-256	V
WBGene00005463	srh-257	V
WBGene00005464	srh-258	V
WBGene00005465	srh-259	V
WBGene00005466	srh-260	V
WBGene00005467	srh-261	V
WBGene00005468	srh-262	V
WBGene00005469	srh-263	V
WBGene00005470	srh-264	V
WBGene00005471	srh-265	V
WBGene00005472	srh-266	V
WBGene00005473	srh-267	V
WBGene00005474	srh-268	V
WBGene00005475	srh-269	V
WBGene00005476	srh-270	V
WBGene00005477	srh-271	V
WBGene00005478	srh-272	V
WBGene00005479	srh-274	II
WBGene00005480	srh-275	V
WBGene00005481	srh-276	V
WBGene00005482	srh-277	V
WBGene00005483	srh-278	V
WBGene00005484	srh-279	V
WBGene00005485	srh-280	V
WBGene00005486	srh-281	V
WBGene00005487	srh-282	IV
WBGene00005488	srh-283	V
WBGene00005489	srh-284	V
WBGene00005490	srh-286	V
WBGene00005491	srh-287	V
WBGene00005492	srh-288	V
WBGene00005493	srh-289	V
WBGene00005494	srh-290	V
WBGene00005495	srh-291	V
WBGene00005496	srh-292	V
WBGene00005497	srh-293	V
WBGene00005498	srh-294	V
WBGene00005499	srh-295	V
WBGene00005500	srh-296	V
WBGene00005501	srh-297	II
WBGene00005502	srh-298	V
WBGene00005503	srh-299	V
WBGene00005504	srh-300	V
WBGene00005505	srh-301	V
WBGene00005506	srh-302	V
WBGene00005507	srh-303	V
WBGene00005508	srh-304	V
WBGene00005509	srh-305	II
WBGene00005510	srh-306	II
WBGene00005511	srh-307	V
WBGene00005512	srh-105	II
WBGene00005513	sri-1	V
WBGene00005514	sri-2	V
WBGene00005515	sri-3	V
WBGene00005516	sri-4	V
WBGene00005517	sri-5	I
WBGene00005518	sri-6	V
WBGene00005519	sri-7	V
WBGene00005520	sri-8	II
WBGene00005521	sri-9	V
WBGene00005522	sri-10	V
WBGene00005523	sri-11	I
WBGene00005524	sri-12	I
WBGene00005525	sri-13	I
WBGene00005526	sri-14	I
WBGene00005527	sri-15	I
WBGene00005528	sri-16	I
WBGene00005529	sri-17	I
WBGene00005530	sri-18	V
WBGene00005531	sri-19	IV
WBGene00005532	sri-20	V
WBGene00005533	sri-21	V
WBGene00005534	sri-22	V
WBGene00005535	sri-23	V
WBGene00005536	sri-24	V
WBGene00005537	sri-25	V
WBGene00005538	sri-26	V
WBGene00005539	sri-27	V
WBGene00005540	sri-28	II
WBGene00005541	sri-29	II
WBGene00005542	sri-30	II
WBGene00005543	sri-31	II
WBGene00005544	sri-32	II
WBGene00005545	sri-33	II
WBGene00005546	sri-34	II
WBGene00005547	sri-35	V
WBGene00005548	sri-36	II
WBGene00005549	sri-37	II
WBGene00005550	sri-38	II
WBGene00005551	sri-39	II
WBGene00005552	sri-40	II
WBGene00005553	sri-41	II
WBGene00005554	sri-42	II
WBGene00005555	sri-43	II
WBGene00005556	sri-44	II
WBGene00005557	sri-45	II
WBGene00005558	sri-46	II
WBGene00005559	sri-47	II
WBGene00005560	sri-48	II
WBGene00005561	sri-49	II
WBGene00005562	sri-50	II
WBGene00005563	sri-51	II
WBGene00005564	sri-52	II
WBGene00005565	sri-53	II
WBGene00005566	sri-54	II
WBGene00005567	sri-55	II
WBGene00005568	sri-56	II
WBGene00005569	sri-57	II
WBGene00005570	sri-58	II
WBGene00005571	sri-59	II
WBGene00005572	sri-60	II
WBGene00005573	sri-61	II
WBGene00005574	sri-62	II
WBGene00005575	sri-63	II
WBGene00005576	sri-64	V
WBGene00005577	sri-65	V
WBGene00005578	sri-66	V
WBGene00005579	sri-67	V
WBGene00005580	sri-68	V
WBGene00005581	sri-69	V
WBGene00005582	sri-70	V
WBGene00005583	sri-71	II
WBGene00005584	sri-72	V
WBGene00005585	sri-73	V
WBGene00005586	sri-74	II
WBGene00005587	sri-75	II
WBGene00005588	sri-76	II
WBGene00005589	sri-77	II
WBGene00005590	sri-78	II
WBGene00005591	srj-1	IV
WBGene00005592	srj-4	V
WBGene00005593	srj-5	V
WBGene00005594	srj-6	V
WBGene00005595	srj-7	V
WBGene00005596	srj-8	V
WBGene00005597	srj-9	V
WBGene00005598	srj-10	V
WBGene00005599	srj-11	V
WBGene00005600	srj-12	V
WBGene00005601	srj-13	V
WBGene00005602	srj-14	V
WBGene00005603	srj-15	V
WBGene00005604	srj-16	V
WBGene00005605	srj-17	V
WBGene00005606	srj-18	V
WBGene00005607	srj-19	V
WBGene00005608	srj-20	V
WBGene00005609	srj-21	V
WBGene00005610	srj-22	V
WBGene00005611	srj-23	V
WBGene00005612	srj-24	V
WBGene00005613	srj-25	V
WBGene00005614	srj-26	V
WBGene00005615	srj-27	V
WBGene00005616	srj-29	V
WBGene00005617	srj-32	V
WBGene00005618	srj-33	V
WBGene00005619	srj-34	V
WBGene00005620	srj-35	V
WBGene00005621	srj-37	V
WBGene00005622	srj-38	V
WBGene00005623	srj-39	V
WBGene00005624	srj-40	V
WBGene00005625	srj-42	IV
WBGene00005626	srj-44	V
WBGene00005627	srj-45	V
WBGene00005628	srj-49	V
WBGene00005629	srj-50	V
WBGene00005630	srj-51	V
WBGene00005631	srj-52	V
WBGene00005632	srj-53	V
WBGene00005633	srj-54	V
WBGene00005634	srj-55	V
WBGene00005635	srj-57	V
WBGene00005638	srm-1	IV
WBGene00005639	srm-2	IV
WBGene00005640	srn-1	V
WBGene00005641	sro-1	II
WBGene00005642	srp-1	V
WBGene00005643	srp-2	V
WBGene00005644	srp-3	V
WBGene00005646	srp-5	V
WBGene00005647	srp-6	V
WBGene00005648	srp-7	V
WBGene00005649	srp-8	V
WBGene00005650	srp-9	V
WBGene00005651	srp-10	V
WBGene00005652	srr-1	V
WBGene00005653	srr-2	V
WBGene00005654	srr-3	V
WBGene00005655	srr-4	V
WBGene00005656	srr-5	V
WBGene00005657	srr-6	V
WBGene00005658	srr-7	V
WBGene00005659	srr-8	V
WBGene00005660	srr-9	V
WBGene00005661	srr-10	V
WBGene00005662	sars-2	IV
WBGene00005663	sars-1	IV
WBGene00005664	sru-1	IV
WBGene00005665	sru-2	IV
WBGene00005666	sru-3	IV
WBGene00005667	sru-4	IV
WBGene00005668	sru-5	IV
WBGene00005669	sru-6	IV
WBGene00005670	sru-7	IV
WBGene00005671	sru-8	V
WBGene00005672	sru-9	IV
WBGene00005673	sru-10	IV
WBGene00005674	sru-11	IV
WBGene00005675	sru-12	IV
WBGene00005676	sru-13	IV
WBGene00005677	sru-14	IV
WBGene00005678	sru-15	IV
WBGene00005679	sru-16	IV
WBGene00005680	sru-17	IV
WBGene00005681	sru-18	IV
WBGene00005682	sru-19	IV
WBGene00005683	sru-20	IV
WBGene00005684	sru-21	IV
WBGene00005685	sru-22	V
WBGene00005686	sru-23	V
WBGene00005687	sru-24	V
WBGene00005688	sru-25	V
WBGene00005689	sru-26	IV
WBGene00005690	sru-27	V
WBGene00005691	sru-28	V
WBGene00005692	sru-29	V
WBGene00005693	sru-30	V
WBGene00005694	sru-31	V
WBGene00005695	sru-32	V
WBGene00005696	sru-33	V
WBGene00005697	sru-34	V
WBGene00005698	sru-35	IV
WBGene00005699	sru-36	V
WBGene00005700	sru-37	V
WBGene00005701	sru-38	V
WBGene00005702	sru-39	V
WBGene00005703	sru-40	V
WBGene00005704	sru-41	II
WBGene00005705	sru-42	V
WBGene00005706	sru-43	V
WBGene00005707	sru-44	V
WBGene00005708	sru-45	V
WBGene00005709	sru-46	V
WBGene00005710	sru-47	I
WBGene00005711	sru-48	X
WBGene00005712	srv-1	III
WBGene00005713	srv-2	II
WBGene00005714	srv-3	V
WBGene00005715	srv-4	IV
WBGene00005716	srv-5	X
WBGene00005717	srv-6	X
WBGene00005718	srv-7	X
WBGene00005719	srv-8	V
WBGene00005720	srv-9	V
WBGene00005721	srv-10	V
WBGene00005722	srv-11	IV
WBGene00005723	srv-12	IV
WBGene00005724	srv-13	IV
WBGene00005725	srv-14	IV
WBGene00005726	srv-15	IV
WBGene00005727	srv-16	IV
WBGene00005728	srv-17	IV
WBGene00005729	srv-18	IV
WBGene00005730	srv-19	IV
WBGene00005731	srv-20	IV
WBGene00005732	srv-21	IV
WBGene00005733	srv-22	IV
WBGene00005734	srv-23	IV
WBGene00005735	srv-24	IV
WBGene00005736	srv-25	IV
WBGene00005737	srv-26	IV
WBGene00005738	srv-27	IV
WBGene00005739	srv-28	IV
WBGene00005740	srv-29	IV
WBGene00005741	srv-30	IV
WBGene00005742	srv-31	IV
WBGene00005743	srv-32	IV
WBGene00005744	ops-1	IV
WBGene00005745	srv-34	V
WBGene00005746	srv-35	V
WBGene00005747	srv-36	V
WBGene00005748	srw-1	V
WBGene00005749	srw-2	V
WBGene00005750	srw-3	V
WBGene00005751	srw-4	V
WBGene00005752	srw-5	III
WBGene00005753	srw-6	V
WBGene00005754	srw-7	V
WBGene00005755	srw-8	V
WBGene00005756	srw-9	III
WBGene00005757	srw-10	III
WBGene00005758	srw-11	V
WBGene00005759	srw-12	V
WBGene00005760	srw-13	V
WBGene00005761	srw-14	V
WBGene00005762	srw-15	V
WBGene00005763	srw-16	V
WBGene00005764	srw-17	V
WBGene00005765	srw-18	V
WBGene00005766	srw-19	V
WBGene00005767	srw-20	V
WBGene00005768	srw-21	V
WBGene00005769	srw-22	V
WBGene00005770	srw-23	V
WBGene00005771	srw-24	V
WBGene00005772	srw-25	V
WBGene00005773	srw-26	V
WBGene00005774	srw-27	V
WBGene00005775	srw-28	V
WBGene00005776	srw-29	V
WBGene00005777	srw-30	V
WBGene00005778	srw-31	V
WBGene00005779	srw-32	V
WBGene00005780	srw-33	V
WBGene00005781	srw-34	V
WBGene00005782	srw-35	V
WBGene00005783	srw-36	V
WBGene00005784	srw-37	V
WBGene00005785	srw-38	V
WBGene00005786	srw-39	V
WBGene00005787	srw-40	II
WBGene00005788	srw-41	V
WBGene00005789	srw-42	V
WBGene00005790	srw-43	V
WBGene00005791	srw-44	V
WBGene00005792	srw-45	V
WBGene00005793	srw-46	V
WBGene00005794	srw-47	V
WBGene00005795	srw-48	V
WBGene00005796	srw-49	V
WBGene00005797	srw-50	V
WBGene00005798	srw-51	V
WBGene00005799	srw-52	V
WBGene00005800	srw-53	V
WBGene00005801	srw-54	V
WBGene00005802	srw-55	V
WBGene00005803	srw-56	V
WBGene00005804	srw-57	V
WBGene00005805	srw-58	V
WBGene00005806	srw-59	V
WBGene00005807	srw-60	II
WBGene00005808	srw-61	IV
WBGene00005809	srw-62	II
WBGene00005810	srw-63	IV
WBGene00005811	srw-64	IV
WBGene00005812	srw-65	V
WBGene00005813	srw-66	II
WBGene00005814	srw-67	V
WBGene00005815	srw-68	V
WBGene00005816	srw-69	V
WBGene00005817	srw-70	V
WBGene00005818	srw-71	V
WBGene00005819	srw-72	V
WBGene00005820	srw-73	V
WBGene00005821	srw-74	V
WBGene00005822	srw-75	V
